question,premise,hypothesis,label,llm_label,rationale,input
Three construction workers are working on a scaffolding.</s>Three workers are on a tractor,Three construction workers are working on a scaffolding.,Three workers are on a tractor,contradiction,neutral,The workers are not necessarily on a tractor.,Three construction workers are working on a scaffolding.</s>Three workers are on a tractor
A surfer rides a medium-sized wave.</s>The professional surfer is on vacation giving skiing a try.,A surfer rides a medium-sized wave.,The professional surfer is on vacation giving skiing a try.,contradiction,neutral,The surfer is not necessarily a professional surfer.,A surfer rides a medium-sized wave.</s>The professional surfer is on vacation giving skiing a try.
A teenage boy uses an electronic device on the street.</s>A teenage boy is swimming.,A teenage boy uses an electronic device on the street.,A teenage boy is swimming.,contradiction,contradiction,The teenage boy is not swimming.,A teenage boy uses an electronic device on the street.</s>A teenage boy is swimming.
A man with a cigarette talks to a woman with a cigarette.</s>The man is hitting on the woman.,A man with a cigarette talks to a woman with a cigarette.,The man is hitting on the woman.,neutral,neutral,The man could be talking to the woman about something else.,A man with a cigarette talks to a woman with a cigarette.</s>The man is hitting on the woman.
A group of people is talking and standing next to a bus stop.</s>a group of people are waiting for a bus,A group of people is talking and standing next to a bus stop.,a group of people are waiting for a bus,entailment,entailment,"The people are standing next to a bus stop, so they are waiting for a bus.",A group of people is talking and standing next to a bus stop.</s>a group of people are waiting for a bus
A young man in shorts lounging on a brick wall in a park.</s>Someone has their arms crossed.,A young man in shorts lounging on a brick wall in a park.,Someone has their arms crossed.,neutral,entailment,The young man is someone.,A young man in shorts lounging on a brick wall in a park.</s>Someone has their arms crossed.
"A young girl stands in front of a body of water with her hands above her head, smiling.</s>The girl is pleased","A young girl stands in front of a body of water with her hands above her head, smiling.",The girl is pleased,entailment,entailment,"The girl is smiling, which is a sign of happiness.","A young girl stands in front of a body of water with her hands above her head, smiling.</s>The girl is pleased"
A little boy wearing a plaid shirt and khaki pants is crouching on the ground with his hands on a skateboard.</s>A boy riding on a skateboard,A little boy wearing a plaid shirt and khaki pants is crouching on the ground with his hands on a skateboard.,A boy riding on a skateboard,contradiction,neutral,The boy is not necessarily riding on the skateboard.,A little boy wearing a plaid shirt and khaki pants is crouching on the ground with his hands on a skateboard.</s>A boy riding on a skateboard
"Two men sit beside each other, taking advantage of public transportation.</s>the men are taking the bus","Two men sit beside each other, taking advantage of public transportation.",the men are taking the bus,neutral,entailment,The men are taking advantage of public transportation. The bus is a form of public transportation.,"Two men sit beside each other, taking advantage of public transportation.</s>the men are taking the bus"
"Three men wearing hats are holding up flags, one man is walking with a rifle on his shoulder.</s>The men are holding objects.","Three men wearing hats are holding up flags, one man is walking with a rifle on his shoulder.",The men are holding objects.,entailment,entailment,The men are holding flags and a rifle.,"Three men wearing hats are holding up flags, one man is walking with a rifle on his shoulder.</s>The men are holding objects."
2 men holding a sign in front of a metal fence.</s>The men are involved in a protest.,2 men holding a sign in front of a metal fence.,The men are involved in a protest.,neutral,entailment,The men are holding a sign in front of a metal fence.,2 men holding a sign in front of a metal fence.</s>The men are involved in a protest.
A little boy and a woman are looking out the window of a train.</s>A little boy and a woman are looking out the window of a submarine.,A little boy and a woman are looking out the window of a train.,A little boy and a woman are looking out the window of a submarine.,contradiction,contradiction,A train is not a submarine.,A little boy and a woman are looking out the window of a train.</s>A little boy and a woman are looking out the window of a submarine.
A small boy following 4 geese.</s>a boy following a dog,A small boy following 4 geese.,a boy following a dog,contradiction,contradiction,a boy following a dog is not the same as a boy following 4 geese.,A small boy following 4 geese.</s>a boy following a dog
A street shot of people in an Asian country.</s>A street shot of people in China.,A street shot of people in an Asian country.,A street shot of people in China.,neutral,neutral,"The people in the picture are Asian, so they could be Chinese.",A street shot of people in an Asian country.</s>A street shot of people in China.
